Date,Description,Amount
2025-01-02,PAYROLL DEPOSIT - ACME INC,3500.00
2025-01-03,RENT PAYMENT - LANDLORD,-1500.00
2025-01-04,STARBUCKS COFFEE,-5.75
2025-01-05,AMAZON MARKETPLACE,-89.99
2025-01-06,UBER RIDE,-24.50
2025-01-07,WHOLE FOODS MARKET,-156.23
2025-01-08,NETFLIX SUBSCRIPTION,-15.99
2025-01-09,ELECTRIC BILL - PG&E,-125.00
2025-01-10,GAS STATION - SHELL,-45.67
2025-01-11,TARGET STORE,-78.34
2025-01-12,CHIPOTLE RESTAURANT,-12.50
2025-01-13,VENMO PAYMENT FROM JOHN,50.00
2025-01-14,SPOTIFY PREMIUM,-9.99
2025-01-15,PAYROLL DEPOSIT - ACME INC,3500.00
2025-01-16,CVS PHARMACY,-23.45
2025-01-17,DOORDASH DELIVERY,-35.67
2025-01-18,COMCAST INTERNET,-89.99
2025-01-19,TRADER JOES GROCERY,-98.56
2025-01-20,UBER RIDE,-18.75
2025-01-21,APPLE.COM SUBSCRIPTION,-14.99
2025-01-22,PLANET FITNESS,-24.99
2025-01-23,ATM WITHDRAWAL,-200.00
2025-01-24,MCDONALDS RESTAURANT,-8.99
2025-01-25,ZELLE FROM MOM,100.00
2025-01-26,HOME DEPOT,-156.78
2025-01-27,GAS STATION - CHEVRON,-52.34
2025-01-28,AMAZON PRIME VIDEO,-8.99
2025-01-29,LYFT RIDE,-22.00
2025-01-30,COSTCO WHOLESALE,-234.56
2025-01-31,INTEREST PAYMENT,2.15
